float_id,date,longitude,latitude
0,2026-01-01T00:00:00,0.5,0.5
0,2026-01-31T00:00:00,0.5,0.5
1,2026-01-01T00:00:00,0.5,0.5
1,2026-01-31T00:00:00,0.5,0.5
2,2026-01-01T00:00:00,0.5,0.5
2,2026-01-31T00:00:00,0.5,0.5
3,2026-01-01T00:00:00,0.5,0.5
3,2026-01-31T00:00:00,0.5,0.5
4,2026-01-01T00:00:00,0.5,0.5
4,2026-01-31T00:00:00,0.5,0.5
5,2026-01-01T00:00:00,0.5,0.5
5,2026-01-31T00:00:00,0.5,0.5
6,2026-01-01T00:00:00,0.5,0.5
6,2026-01-31T00:00:00,0.5,0.5
7,2026-01-01T00:00:00,0.5,0.5
7,2026-01-31T00:00:00,0.5,0.5
8,2026-01-01T00:00:00,0.5,0.5
8,2026-01-31T00:00:00,0.5,0.5
9,2026-01-01T00:00:00,0.5,0.5
9,2026-01-31T00:00:00,0.5,0.5
10,2026-01-01T00:00:00,0.5,0.5
10,2026-01-31T00:00:00,0.5,0.5
11,2026-01-01T00:00:00,0.5,0.5
11,2026-01-31T00:00:00,0.5,0.5
12,2026-01-01T00:00:00,0.5,0.5
12,2026-01-31T00:00:00,0.5,0.5
13,2026-01-01T00:00:00,0.5,0.5
13,2026-01-31T00:00:00,0.5,0.5
14,2026-01-01T00:00:00,0.5,0.5
14,2026-01-31T00:00:00,0.5,0.5
15,2026-01-01T00:00:00,0.5,0.5
15,2026-01-31T00:00:00,0.5,0.5
16,2026-01-01T00:00:00,0.5,0.5
16,2026-01-31T00:00:00,0.5,0.5
17,2026-01-01T00:00:00,0.5,0.5
17,2026-01-31T00:00:00,0.5,0.5
18,2026-01-01T00:00:00,0.5,0.5
18,2026-01-31T00:00:00,0.5,0.5
19,2026-01-01T00:00:00,0.5,0.5
19,2026-01-31T00:00:00,1.5,0.5
20,2026-01-01T00:00:00,1.5,0.5
20,2026-01-31T00:00:00,1.5,0.5
21,2026-01-01T00:00:00,1.5,0.5
21,2026-01-31T00:00:00,1.5,0.5
22,2026-01-01T00:00:00,1.5,0.5
22,2026-01-31T00:00:00,1.5,0.5
23,2026-01-01T00:00:00,1.5,0.5
23,2026-01-31T00:00:00,1.5,0.5
24,2026-01-01T00:00:00,1.5,0.5
24,2026-01-31T00:00:00,1.5,0.5
25,2026-01-01T00:00:00,1.5,0.5
25,2026-01-31T00:00:00,1.5,0.5
26,2026-01-01T00:00:00,1.5,0.5
26,2026-01-31T00:00:00,1.5,0.5
27,2026-01-01T00:00:00,1.5,0.5
27,2026-01-31T00:00:00,1.5,0.5
28,2026-01-01T00:00:00,1.5,0.5
28,2026-01-31T00:00:00,1.5,0.5
29,2026-01-01T00:00:00,1.5,0.5
29,2026-01-31T00:00:00,1.5,0.5
30,2026-01-01T00:00:00,1.5,0.5
30,2026-01-31T00:00:00,1.5,0.5
31,2026-01-01T00:00:00,1.5,0.5
31,2026-01-31T00:00:00,1.5,0.5
32,2026-01-01T00:00:00,1.5,0.5
32,2026-01-31T00:00:00,1.5,0.5
33,2026-01-01T00:00:00,1.5,0.5
33,2026-01-31T00:00:00,1.5,0.5
34,2026-01-01T00:00:00,1.5,0.5
34,2026-01-31T00:00:00,1.5,0.5
35,2026-01-01T00:00:00,1.5,0.5
35,2026-01-31T00:00:00,1.5,0.5
